English,Spanish,French,German,Italian
attendance,asistencia,presence / assistance,Anwesenheit / Teilnahme,presenza / partecipazione
penalty,penalizacion / pena,penalite / peine,Strafe / Strafstoss,penalita / pena
drum,tambor,tambour,Trommel,tamburo
glasses,gafas / vasos,lunettes / verres,Brillen / Glaser,occhiali / bicchieri
enables,permite / habilita,permet / active,ermoglicht,consente / abilita
nec,NEC,NEC,NEC,NEC
iraqi,iraqui,irakien,irakisch / Irakisch,iracheno
builder,constructor,constructeur,Bauer / Builder,costruttore
vista,vista,vue / Vista,Ansicht / Vista,vista
jessica,Jessica,Jessica,Jessica,Jessica
chips,chips / papas fritas,puces / chips,Chips,chip / patatine
terry,Terry,Terry,Terry,Terry
flood,inundacion / inundar,inondation / inonder,Flut / uberfluten,alluvione / inondare
foto,foto,photo / foto,Foto,foto
ease,facilidad / aliviar,facilite / soulager,Leichtigkeit / erleichtern,facilita / alleviare
arguments,argumentos / discusiones,arguments / disputes,Argumente / Streitigkeiten,argomenti / discussioni
amsterdam,Amsterdam,Amsterdam,Amsterdam,Amsterdam
arena,arena / estadio,arena / stade,Arena,arena
adventures,aventuras,aventures,Abenteuer,avventure
pupils,alumnos / pupilas,eleves / pupilles,Schuler / Pupillen,alunni / pupille
stewart,Stewart,Stewart,Stewart,Stewart
announcement,anuncio,annonce,Ankundigung,annuncio
tabs,pestanas / tabs,onglets,Tabs / Registerkarten,schede / tab
outcome,resultado,resultat / issue,Ergebnis,risultato
appreciate,apreciar / agradecer,apprecier / remercier,schatzen,apprezzare / ringraziare
expanded,ampliado,elargi,erweitert,ampliato
casual,casual / informal,decontracte / occasionnel,locker / casual,casual / informale
grown,crecido / cultivado,grandi / cultive,gewachsen,cresciuto / coltivato
polish,pulir / polaco,polir / polonais,polieren / polnisch,lucidare / polacco
lovely,encantador / lindo,charmant / joli,lieblich / schon,adorabile / bello
extras,extras / adicionales,extras / supplementaires,Extras,extra
centres,centros,centres,Zentren,centri
jerry,Jerry,Jerry,Jerry,Jerry
clause,clausula,clause,Klausel,clausola
smile,sonrisa / sonreir,sourire,Lacheln / Lacheln,sorriso / sorridere
lands,tierras / aterriza,terres / atterrit,Lander / landet,terre / atterra
troops,tropas,troupes,Truppen,truppe
indoor,interior / en interiores,interieur,innen / Indoor-,al coperto / interno
bulgaria,Bulgaria,Bulgarie,Bulgarien,Bulgaria
armed,armado,arme,bewaffnet,armato
broker,corredor / intermediario,courtier,Makler / Broker,broker / intermediario
charger,cargador,chargeur,Ladegerat,caricatore
regularly,regularmente,regulierement,regelmassig,regolarmente
believed,creido / se creia,cru,geglaubt,creduto
pine,pino,pin,Kiefer / Pinie,pino
cooling,enfriamiento,refroidissement,Kuhlung,raffreddamento
tend,tender / tender a,tendre / avoir tendance,tendieren / pflegen,tendere
gulf,golfo,golfe,Golf,golfo
rick,Rick,Rick,Rick,Rick
trucks,camiones,camions,Lastwagen,camion
mechanisms,mecanismos,mecanismes,Mechanismen,meccanismi
divorce,divorcio,divorce,Scheidung,divorzio
laura,Laura,Laura,Laura,Laura
shopper,comprador,acheteur / client,Kaufer / Shopper,acquirente / cliente
tokyo,Tokio,Tokyo,Tokio,Tokyo
partly,parcialmente,partiellement,teilweise,parzialmente
nikon,Nikon,Nikon,Nikon,Nikon
customize,personalizar,personnaliser,anpassen,personalizzare
tradition,tradicion,tradition,Tradition,tradizione
candy,caramelo / dulce,bonbon,Sussigkeiten / Bonbon,caramella / dolce
pills,pastillas,pilules / comprimes,Pillen / Tabletten,pillole / compresse
tiger,tigre,tigre,Tiger,tigre
donald,Donald,Donald,Donald,Donald
folks,gente / amigos,gens / amis,Leute,gente / amici
sensor,sensor,capteur / senseur,Sensor,sensore
exposed,expuesto,expose,ausgesetzt / exponiert,esposto
telecom,telecom,telecom,Telekom,telecom
hunt,cazar / caza,chasser / chasse,jagen / Jagd,cacciare / caccia
angels,angeles,anges,Engel,angeli
deputy,diputado / adjunto,adjoint / depute,Stellvertreter / Abgeordneter,deputato / vice
indicators,indicadores,indicateurs,Indikatoren,indicatori
sealed,sellado,scelle,versiegelt,sigillato
thai,tailandes,thai,thailandisch,tailandese
emissions,emisiones,emissions,Emissionen,emissioni
physicians,medicos,medecins,Arzte,medici
loaded,cargado,charge,geladen,caricato
fred,Fred,Fred,Fred,Fred
complaint,queja,plainte,Beschwerde,reclamo / lamentela
scenes,escenas,scenes,Szenen,scene
experiments,experimentos,experiences,Experimente,esperimenti
afghanistan,Afganistan,Afghanistan,Afghanistan,Afghanistan
boost,impulso / aumentar,elan / augmenter,Schub / steigern,spinta / aumentare
spanking,nalgada / azote,fessee,Klaps / Versohlen,sculacciata
scholarship,beca,bourse,Stipendium,borsa di studio
governance,gobernanza,gouvernance,Governance / Regierungsfuhrung,governance
mill,molino,moulin,Muhle,mulino
founded,fundado,fonde,gegrundet,fondato
supplements,suplementos,supplements,Erganzungen / Nahrungserganzungen,integratori / supplementi
chronic,cronico,chronique,chronisch,cronico
icons,iconos,icones,Symbole / Icons,icone
moral,moral,moral,moralisch / Moral,morale
den,guarida / cubil,taniere,Hohle / Bau,tana
catering,catering / servicio de comidas,restauration / traiteur,Catering,catering / ristorazione
aud,AUD,AUD,AUD,AUD
finger,dedo,doigt,Finger,dito
keeps,mantiene / guarda,garde,halt / behalt,mantiene / conserva
pound,libra / golpear,livre / frapper,Pfund / schlagen,libbra / colpire
locate,localizar,localiser,finden / lokalisieren,localizzare
camcorder,videocamara,caméscope,Camcorder,videocamera
trained,entrenado / capacitado,forme / entraine,ausgebildet / trainiert,addestrato / formato
burn,quemar / quemadura,bruler / brulure,brennen / Verbrennung,bruciare / ustione
implementing,implementando,mettant en oeuvre,implementierend,implementando
roses,rosas,roses,Rosen,rose
labs,laboratorios,laboratoires,Labore,laboratori
ourselves,nosotros mismos,nous-memes,uns selbst,noi stessi
bread,pan,pain,Brot,pane
tobacco,tabaco,tabac,Tabak,tabacco
wooden,de madera,en bois,holzern,di legno
motors,motores,moteurs,Motoren,motori
tough,duro / dificil,dur / difficile,hart / schwierig,duro / difficile
roberts,Roberts,Roberts,Roberts,Roberts
incident,incidente,incident,Vorfall,incidente
gonna,voy a / gonna,vais / gonna,werde / gonna,sto per / gonna
dynamics,dinamica,dynamique,Dynamik,dinamica
lie,mentir / yacer,mentir / etre allonge,lugen / liegen,mentire / giacere
crm,CRM,CRM,CRM,CRM
conversation,conversacion,conversation,Gesprach,conversazione
decrease,disminucion / disminuir,diminution / diminuer,Abnahme / verringern,diminuzione / diminuire
chest,pecho / cofre,poitrine / coffre,Brust / Truhe,petto / baule
pension,pension / jubilacion,pension / retraite,Rente / Pension,pensione
billy,Billy,Billy,Billy,Billy
revenues,ingresos,revenus,Einnahmen,ricavi
emerging,emergente,emergent,aufkommend,emergente
worship,culto / adorar,culte / adorer,Verehrung / anbeten,culto / adorare
capability,capacidad,capacite,Fahigkeit,capacita
craig,Craig,Craig,Craig,Craig
herself,ella misma,elle-meme,sich selbst,se stessa
producing,produciendo,produisant,produzierend,producendo
churches,iglesias,eglises,Kirchen,chiese
precision,precision,precision,Prazision,precisione
damages,danos / indemnizacion,dommages / dommages-interets,Schaden / Schadensersatz,danni / risarcimento
reserves,reservas,reserves,Reserven,riserve
contributed,contribuido,contribue,beigetragen,contribuito
solve,resolver,resoudre,losen,risolvere
shorts,pantalones cortos,shorts,Shorts,pantaloncini
reproduction,reproduccion,reproduction,Fortpflanzung / Reproduktion,riproduzione
minority,minoria,minorite,Minderheit,minoranza
diverse,diverso,divers,vielfaltig,diverso
amp,amplificador / amp,amp / ampli,Amp / Verstarker,amp / amplificatore
ingredients,ingredientes,ingredients,Zutaten,ingredienti
johnny,Johnny,Johnny,Johnny,Johnny
sole,suela / unico,semelle / unique,Sohle / alleinige,suola / unico
franchise,franquicia,franchise,Franchise,franchigia / franchising
recorder,grabadora / registrador,enregistreur,Recorder / Aufnahmegerat,registratore
complaints,quejas,plaintes,Beschwerden,reclami
facing,enfrentando / orientado hacia,faisant face / oriente,gegenuberstehend / konfrontiert,affrontando / rivolto
nancy,Nancy,Nancy,Nancy,Nancy
promotions,promociones,promotions,Beforderungen / Aktionen,promozioni
tones,tonos,tons,Tone,toni
passion,pasion,passion,Leidenschaft,passione
rehabilitation,rehabilitacion,readaptation / rehabilitation,Rehabilitation,riabilitazione
maintaining,manteniendo,maintenant,aufrechterhaltend,mantenendo
sight,vista / vision,vue / vision,Sicht,vista
laid,puesto / colocado,pose,gelegt,messo / posato
clay,arcilla,argile,Ton,argilla
defence,defensa,defense,Verteidigung,difesa
patches,parches,patchs / rustines,Patches / Flickstellen,patch / toppe
weak,debil,faible,schwach,debole
refund,reembolso,remboursement,Ruckerstattung,rimborso
usc,USC,USC,USC,USC
towns,pueblos / ciudades pequenas,villes / bourgs,Stadte / Orte,citta / paesi
environments,entornos / ambientes,environnements,Umgebungen,ambienti
trembl,trembl,trembl,trembl,trembl
divided,dividido,divise,geteilt,diviso
blvd,bulevar / blvd,bd / boulevard,Blvd / Boulevard,viale / blvd
reception,recepcion,reception,Empfang,ricezione
amd,AMD,AMD,AMD,AMD
wise,sabio,sage,weise / klug,saggio
emails,correos electronicos,emails / courriels,E-Mails,email
cyprus,Chipre,Chypre,Zypern,Cipro
odds,probabilidades / cuotas,chances / cotes,Wahrscheinlichkeiten / Quoten,probabilita / quote
correctly,correctamente,correctement,richtig,correttamente
insider,informado / interno,initie / interne,Insider,insider / interno
seminars,seminarios,seminaires,Seminare,seminari
consequences,consecuencias,consequences,Folgen,conseguenze
makers,fabricantes / creadores,fabricants / createurs,Hersteller / Schopfer,produttori / creatori
hearts,corazones,coeurs,Herzen,cuori
geography,geografia,geographie,Geographie,geografia
appearing,apareciendo,apparaissant,erscheinend,apparendo
integrity,integridad,integrite,Integritat,integrita
worry,preocupacion / preocuparse,inquietude / s'inquieter,Sorge / sich sorgen,preoccupazione / preoccuparsi
discrimination,discriminacion,discrimination,Diskriminierung,discriminazione
eve,víspera / Eve,veille / Eve,Vorabend / Eve,vigilia / Eve
carter,Carter,Carter,Carter,Carter
legacy,legado,heritage / legacy,Vermachtnis / Legacy,eredita / legacy
marc,Marc,Marc,Marc,Marc
pleased,complacido / satisfecho,ravi / satisfait,erfreut,soddisfatto / lieto
danger,peligro,danger,Gefahr,pericolo
vitamin,vitamina,vitamine,Vitamin,vitamina
widely,ampliamente,largement,weit verbreitet,ampiamente
processed,procesado,traite,verarbeitet,elaborato / processato
phrase,frase,phrase,Phrase / Satz,frase
genuine,genuino / autentico,authentique / sincere,echt,genuino / autentico
raising,aumento / criando / levantando,augmentation / elevant,erhohend / aufziehend,aumento / alzando / allevando
implications,implicaciones,implications,Auswirkungen / Implikationen,implicazioni
functionality,funcionalidad,fonctionnalite,Funktionalitat,funzionalita
paradise,paraiso,paradis,Paradies,paradiso
hybrid,hibrido,hybride,hybrid,ibrido
reads,lee / lecturas,lit / lectures,liest / Reads,legge / letture
roles,roles / papeles,roles,Rollen,ruoli
intermediate,intermedio,intermediaire,mittel / fortgeschritten,intermedio
emotional,emocional,emotionnel,emotional,emotivo / emozionale
sons,hijos,fils,Sohne,figli
leaf,hoja,feuille,Blatt,foglia
pad,almohadilla / bloc,coussin / bloc-notes,Pad / Unterlage,blocco / tappetino
glory,gloria,gloire,Ruhm / Herrlichkeit,gloria
platforms,plataformas,plateformes,Plattformen,piattaforme
bigger,mas grande,plus grand,grosser,piu grande
billing,facturacion,facturation,Abrechnung,fatturazione
diesel,diesel,diesel,Diesel,diesel
versus,contra / frente a,contre / versus,gegen,contro / versus
combine,combinar,combiner,kombinieren,combinare
overnight,de la noche a la manana / durante la noche,du jour au lendemain / pendant la nuit,uber Nacht,durante la notte / improvvisamente
geographic,geografico,geographique,geografisch,geografico
exceed,exceder / superar,depasser,uberschreiten,superare
rod,vara / barra,tige / canne,Stab / Rute,asta / bacchetta
saudi,saudi,saoudien,saudi-arabisch,saudita
fault,culpa / falla,faute / defaut,Fehler / Schuld,colpa / guasto
cuba,Cuba,Cuba,Kuba,Cuba
hrs,hrs / horas,h / heures,Std.,ore / h
preliminary,preliminar,preliminaire,vorlaufig,preliminare
districts,distritos,districts,Bezirke,distretti
introduce,introducir / presentar,introduire / presenter,einfuhren / vorstellen,introdurre / presentare
silk,seda,soie,Seide,seta
promotional,promocional,promotionnel,Werbe- / promotional,promozionale
kate,Kate,Kate,Kate,Kate
chevrolet,Chevrolet,Chevrolet,Chevrolet,Chevrolet
babies,bebes,bebes,Babys,bambini / neonati
karen,Karen,Karen,Karen,Karen
compiled,compilado,compile,kompiliert / zusammengestellt,compilato
romantic,romantico,romantique,romantisch,romantico
revealed,revelado,revele,enthullt / offenbart,rivelato
specialists,especialistas,specialistes,Spezialisten,specialisti
generator,generador,generateur,Generator,generatore
albert,Albert,Albert,Albert,Albert
examine,examinar,examiner,untersuchen,esaminare
jimmy,Jimmy,Jimmy,Jimmy,Jimmy
graham,Graham,Graham,Graham,Graham
suspension,suspension,suspension,Federung / Aussetzung,sospensione
bristol,Bristol,Bristol,Bristol,Bristol
margaret,Margaret,Margaret,Margaret,Margaret
compaq,Compaq,Compaq,Compaq,Compaq
sad,triste,triste,traurig,triste
correction,correccion,correction,Korrektur,correzione
wolf,lobo,loup,Wolf,lupo
slowly,lentamente,lentement,langsam,lentamente
authentication,autenticacion,authentification,Authentifizierung,autenticazione
communicate,comunicar,communiquer,kommunizieren,comunicare
rugby,rugby,rugby,Rugby,rugby
supplement,suplemento,supplement,Erganzung,supplemento
showtimes,horarios / funciones,horaires des seances,Vorstellungszeiten,orari degli spettacoli
cal,cal,cal,cal,cal
portions,porciones,portions,Portionen,porzioni
infant,infante / bebe,nourrisson,Saugling,neonato / infante
promoting,promoviendo,promouvant,fordernd / bewerbend,promuovendo
sectors,sectores,secteurs,Sektoren,settori
samuel,Samuel,Samuel,Samuel,Samuele / Samuel
fluid,fluido,fluide,flussig,fluido
grounds,motivos / terrenos,motifs / terrains,Grunde / Gelande,motivi / terreni
fits,encaja / queda bien,convient / s'adapte,passt,si adatta / va bene
kick,patada / patear,coup de pied / frapper,Tritt / treten,calcio / tirare
regards,saludos / consideracion,salutations / egards,Grusse / regards,saluti / riguardi
meal,comida,repas,Mahlzeit,pasto
hurt,lastimar / doler,blesser / faire mal,verletzen / weh tun,ferire / far male
machinery,maquinaria,machinerie,Maschinen / Maschinerie,macchinari
bandwidth,ancho de banda,bande passante,Bandbreite,larghezza di banda
unlike,a diferencia de,contrairement a,anders als,a differenza di
equation,ecuacion,equation,Gleichung,equazione
baskets,cestas,paniers,Korbe,cesti
probability,probabilidad,probabilite,Wahrscheinlichkeit,probabilita
pot,olla / maceta / bote,pot,Topf,pentola / vaso
dimension,dimension,dimension,Dimension,dimensione
wright,Wright,Wright,Wright,Wright
img,img,img,img,img
barry,Barry,Barry,Barry,Barry
proven,probado / demostrado,prouve,bewiesen / erwiesen,provato / dimostrato
schedules,horarios / programas,horaires / programmes,Zeitplane / Fahrplane,orari / programmi
admissions,admisiones,admissions,Zulassungen,ammissioni
cached,en cache / almacenado en cache,mis en cache,gecached,memorizzato nella cache
warren,Warren,Warren,Warren,Warren
slip,resbalar / desliz / recibo,glisser / erreur / ticket,rutschen / Slip / Fehler,scivolare / ricevuta / errore
studied,estudiado / estudio,etudie,studiert / untersucht,studiato
reviewer,revisor / critico,critique / evaluateur,Rezensent / Gutachter,recensore / revisore
involves,implica,implique,beinhaltet,implica
quarterly,trimestral,trimestriel,vierteljahrlich,trimestrale
profits,ganancias / beneficios,profits / benefices,Gewinne,profitti / guadagni
devil,diablo,diable,Teufel,diavolo
grass,cesped / hierba,herbe,Gras,erba
comply,cumplir,se conformer,einhalten,conformarsi / rispettare
marie,Marie,Marie,Marie,Marie
florist,florista,fleuriste,Florist,fiorista
illustrated,ilustrado,illustre,illustriert,illustrato
cherry,cereza,cerise,Kirsche,ciliegia
continental,continental,continental,kontinental,continentale
alternate,alternativo / alternar,alternatif / alterner,alternativ / abwechseln,alternativo / alternare
deutsch,deutsch / aleman,allemand / deutsch,Deutsch,tedesco / deutsch
achievement,logro,realisation / accomplissement,Leistung / Erfolg,risultato / successo
limitations,limitaciones,limitations,Einschrankungen,limitazioni
kenya,Kenia,Kenya,Kenia,Kenya
webcam,camara web / webcam,webcam,Webcam,webcam
cuts,cortes / recorta,coupes / coupe,Schnitte / schneidet,tagli / taglia
funeral,funeral,funerailles,Beerdigung / Begrabnis,funerale
nutten,prostitutas,prostituees,Nutten,prostitute
earrings,pendientes / aretes,boucles d'oreilles,Ohrringe,orecchini
